support,itemsets
0.078,"frozenset({'Pasta', 'Tomato Sauce', 'Milk'})"
0.054,"frozenset({'Cheese', 'Pasta', 'Milk'})"
0.0528,"frozenset({'Cheese', 'Pasta', 'Tomato Sauce', 'Milk'})"
0.0708,"frozenset({'Pasta', 'Water', 'Tomato Sauce'})"
0.048,"frozenset({'Cheese', 'Pasta', 'Water'})"
0.0384,"frozenset({'Pasta', 'Water', 'Milk'})"
0.0476,"frozenset({'Cheese', 'Pasta', 'Water', 'Tomato Sauce'})"
0.0316,"frozenset({'Pasta', 'Water', 'Milk', 'Tomato Sauce'})"
0.0216,"frozenset({'Cheese', 'Pasta', 'Water', 'Milk'})"
0.0212,"frozenset({'Cheese', 'Water', 'Tomato Sauce', 'Pasta', 'Milk'})"
0.05,"frozenset({'Pasta', 'Sugar', 'Tomato Sauce'})"
0.0416,"frozenset({'Pasta', 'Sugar', 'Milk'})"
0.0204,"frozenset({'Pasta', 'Sugar', 'Bread'})"
0.0332,"frozenset({'Cheese', 'Pasta', 'Sugar'})"
0.024,"frozenset({'Pasta', 'Sugar', 'Water'})"
0.0344,"frozenset({'Pasta', 'Sugar', 'Milk', 'Tomato Sauce'})"
0.0328,"frozenset({'Cheese', 'Pasta', 'Sugar', 'Tomato Sauce'})"
0.0236,"frozenset({'Cheese', 'Pasta', 'Sugar', 'Milk'})"
0.0232,"frozenset({'Cheese', 'Tomato Sauce', 'Pasta', 'Sugar', 'Milk'})"
0.0204,"frozenset({'Pasta', 'Sugar', 'Water', 'Tomato Sauce'})"
0.0488,"frozenset({'Coffee', 'Pasta', 'Tomato Sauce'})"
0.0472,"frozenset({'Coffee', 'Pasta', 'Milk'})"
0.0432,"frozenset({'Coffee', 'Pasta', 'Sugar'})"
0.022,"frozenset({'Coffee', 'Pasta', 'Bread'})"
0.0336,"frozenset({'Cheese', 'Coffee', 'Pasta'})"
0.0224,"frozenset({'Coffee', 'Pasta', 'Water'})"
0.0396,"frozenset({'Coffee', 'Pasta', 'Tomato Sauce', 'Milk'})"
0.036,"frozenset({'Coffee', 'Pasta', 'Sugar', 'Tomato Sauce'})"
0.0356,"frozenset({'Coffee', 'Pasta', 'Sugar', 'Milk'})"
0.0292,"frozenset({'Tomato Sauce', 'Pasta', 'Sugar', 'Coffee', 'Milk'})"
0.0328,"frozenset({'Cheese', 'Coffee', 'Pasta', 'Tomato Sauce'})"
0.0272,"frozenset({'Cheese', 'Coffee', 'Pasta', 'Milk'})"
0.0248,"frozenset({'Cheese', 'Coffee', 'Pasta', 'Sugar'})"
0.0268,"frozenset({'Cheese', 'Tomato Sauce', 'Pasta', 'Coffee', 'Milk'})"
0.0244,"frozenset({'Cheese', 'Tomato Sauce', 'Pasta', 'Sugar', 'Coffee'})"
0.0204,"frozenset({'Cheese', 'Pasta', 'Sugar', 'Coffee', 'Milk'})"
0.02,"frozenset({'Cheese', 'Tomato Sauce', 'Pasta', 'Sugar', 'Coffee', 'Milk'})"
0.0464,"frozenset({'Soda', 'Pasta', 'Tomato Sauce'})"
0.0288,"frozenset({'Soda', 'Pasta', 'Milk'})"
0.02,"frozenset({'Soda', 'Pasta', 'Coffee'})"
0.0328,"frozenset({'Cheese', 'Soda', 'Pasta'})"
0.0228,"frozenset({'Soda', 'Pasta', 'Water'})"
0.0232,"frozenset({'Soda', 'Pasta', 'Tomato Sauce', 'Milk'})"
0.0328,"frozenset({'Cheese', 'Soda', 'Pasta', 'Tomato Sauce'})"
0.02,"frozenset({'Soda', 'Pasta', 'Water', 'Tomato Sauce'})"
0.0424,"frozenset({'Pasta', 'Tea', 'Tomato Sauce'})"
0.0212,"frozenset({'Pasta', 'Tea', 'Milk'})"
0.0296,"frozenset({'Cheese', 'Pasta', 'Tea'})"
0.0288,"frozenset({'Cheese', 'Pasta', 'Tea', 'Tomato Sauce'})"
0.0384,"frozenset({'Pasta', 'Cookies', 'Tomato Sauce'})"
0.0312,"frozenset({'Pasta', 'Tea', 'Cookies'})"
0.0208,"frozenset({'Pasta', 'Cookies', 'Milk'})"
0.0264,"frozenset({'Cheese', 'Pasta', 'Cookies'})"
0.0256,"frozenset({'Pasta', 'Tea', 'Cookies', 'Tomato Sauce'})"
0.0256,"frozenset({'Cheese', 'Pasta', 'Cookies', 'Tomato Sauce'})"
0.0284,"frozenset({'Bread', 'Olive Oil'})"
0.0228,"frozenset({'Olive Oil', 'Butter'})"
0.0212,"frozenset({'Eggs', 'Olive Oil'})"
0.0212,"frozenset({'Tomato Sauce', 'Olive Oil'})"
0.0384,"frozenset({'Milk', 'Olive Oil'})"
0.0344,"frozenset({'Water', 'Olive Oil'})"
0.0244,"frozenset({'Coffee', 'Olive Oil'})"
0.02,"frozenset({'Jam', 'Olive Oil'})"
0.0252,"frozenset({'Soda', 'Olive Oil'})"
0.0248,"frozenset({'Sugar', 'Olive Oil'})"
0.0224,"frozenset({'Cheese', 'Olive Oil'})"
0.0208,"frozenset({'Tea', 'Olive Oil'})"
0.022,"frozenset({'Cookies', 'Olive Oil'})"
0.1176,"frozenset({'Cheese', 'Milk'})"
0.1108,"frozenset({'Cheese', 'Water'})"
0.0756,"frozenset({'Cheese', 'Soda'})"
0.0952,"frozenset({'Cheese', 'Bread'})"
0.0908,"frozenset({'Cheese', 'Butter'})"
0.046,"frozenset({'Cheese', 'Water', 'Milk'})"
0.0348,"frozenset({'Cheese', 'Soda', 'Milk'})"
0.032,"frozenset({'Cheese', 'Soda', 'Water'})"
0.024,"frozenset({'Cheese', 'Soda', 'Bread'})"
0.0228,"frozenset({'Cheese', 'Soda', 'Butter'})"
0.0404,"frozenset({'Cheese', 'Milk', 'Bread'})"
0.0332,"frozenset({'Cheese', 'Water', 'Bread'})"
0.0748,"frozenset({'Cheese', 'Bread', 'Butter'})"
0.0404,"frozenset({'Cheese', 'Milk', 'Butter'})"
0.0336,"frozenset({'Cheese', 'Water', 'Butter'})"
0.032,"frozenset({'Cheese', 'Milk', 'Bread', 'Butter'})"
0.0248,"frozenset({'Cheese', 'Water', 'Bread', 'Butter'})"
